"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aetherflux Reservoir","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","192","False","False","5.72"
"1","1","Aetherize","znc","Near Mint","German","","","2023-10-01 10:02:06.313000","23","False","False","0.30"
"1","1","Aetherize","lcc","Near Mint","English","","","2023-12-24 22:38:06.913000","142","False","False",""
"1","1","Aethersphere Harvester","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","142","False","False","0.29"
"1","1","Aetherstream Leopard","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","103","False","False","0.02"
"1","1","Aethertorch Renegade","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","106","False","False","0.17"
"1","1","Agatha's Champion","woe","Near Mint","German","","","2023-10-25 10:26:22.653000","160","False","False","0.07"
"2","2","Ageless Guardian","stx","Near Mint","German","","","2023-10-01 10:02:06.313000","8","False","False","0.06"
"1","1","Aggressive Sabotage","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","78","False","False","0.01"
"1","1","Aggressive Sabotage","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","78","False","False","0.01"
"1","1","Aggressive Sabotage","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","78","False","False","0.07"
"2","2","Agonizing Remorse","thb","Near Mint","German","","","2023-10-01 10:02:06.313000","83","False","False","0.03"
"1","1","Agonizing Syphon","m20","Near Mint","German","","","2023-10-01 10:02:06.313000","83","False","False","0.02"
"2","2","Aid from the Cowl","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","105","False","False","0.08"
"1","1","Aim for the Head","vow","Near Mint","German","","","2023-10-01 10:02:06.313000","92","False","False","0.02"
"1","1","Ainok Bond-Kin","ktk","Near Mint","English","","","2023-10-01 10:02:06.313000","3","False","False","0.04"
"2","2","Air Elemental","m19","Near Mint","German","","","2023-10-01 10:02:06.313000","308","False","False","0.40"
"1","1","Air Servant","w16","Near Mint","German","","","2023-10-01 10:02:06.313000","4","False","False","0.02"
"1","1","Airdrop Aeronauts","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","5","False","False","0.10"
"1","1","Airlift Chaplain","bro","Near Mint","German","","","2023-10-01 10:02:06.313000","2","False","False","0.10"
"1","1","Ajani, the Greathearted","pwar","Near Mint","German","foil","","2023-10-01 10:02:06.313000","184s","False","False",""
"1","1","Ajani, Valiant Protector","aer","Near Mint","German","foil","","2023-10-01 10:02:06.313000","185","False","False","2.64"
"2","2","Ajani's Aid","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","188","False","False","0.10"
"4","4","Ajani's Comrade","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","187","False","False","0.02"
"1","1","Akal Pakal, First Among Equals","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","292","False","False","0.19"
"1","1","Akawalli, the Seething Tower","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","298","False","False","0.11"
"1","1","Akki Ronin","neo","Near Mint","English","","","2023-10-01 10:02:06.313000","131","False","False","0.07"
"1","1","Akki War Paint","neo","Near Mint","English","","","2023-10-01 10:02:06.313000","132","False","False","0.02"
"2","2","Akki War Paint","neo","Near Mint","German","foil","","2023-10-01 10:02:06.313000","132","False","False","0.07"
"1","1","Akki War Paint","neo","Near Mint","German","foil","","2023-10-01 10:02:06.313000","132","False","False","0.15"
"4","4","Akoum Hellhound","znr","Near Mint","German","","","2023-10-01 10:02:06.313000","133","False","False","0.04"
"1","1","Akroma's Will","lcc","Near Mint","English","","","2023-12-24 22:35:19.740000","125","False","False",""
"1","1","Alchemist's Gambit","vow","Near Mint","German","foil","","2023-10-01 10:02:06.313000","140","False","False","0.73"
"1","1","Alchemist's Greeting","emn","Near Mint","German","","","2023-10-01 10:02:06.313000","116","False","False","0.01"
"1","1","Alchemist's Refuge","lcc","Near Mint","English","","","2023-12-24 22:38:06.913000","318","False","False",""
"1","1","Alchemist's Retrieval","vow","Near Mint","German","","","2023-10-01 10:02:06.313000","47","False","False","0.06"
"1","1","Alchemist's Retrieval","vow","Near Mint","German","foil","","2023-10-01 10:02:06.313000","47","False","False","0.17"
"1","1","Alesha, Who Smiles at Death","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","118","False","False","0.11"
"2","2","Alley Evasion","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","6","False","False","0.02"
"3","3","Alley Strangler","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","52","False","False","0.01"
"1","1","Alloy Animist","bro","Near Mint","German","","","2023-10-01 10:02:06.313000","166","False","False","0.02"
"3","3","Almighty Brushwagg","iko","Near Mint","German","","","2023-10-01 10:02:06.313000","143","False","False","0.10"
"1","1","Altar of the Goyf","mh2","Near Mint","German","foil","","2023-10-01 10:02:06.313000","220","False","False","0.02"
"1","1","Altar of the Wretched // Wretched Bonemass","lcc","Near Mint","English","","","2024-01-13 22:15:22.680000","10","False","False","0.73"
"1","1","Amalia Benavides Aguirre","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","221","False","False","1.13"
"1","1","Ambition's Cost","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","47","False","False","0.02"
"1","1","Ambition's Cost","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","110","False","False","0.10"
"2","2","Ambitious Aetherborn","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","72","False","False","0.03"
"1","1","Ambitious Assault","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","133","False","False","0.06"
"1","1","Ambitious Assault","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","133","False","False","0.02"
"1","1","Ambitious Farmhand // Seasoned Cathar","mid","Near Mint","English","","","2023-10-01 10:02:06.313000","2","False","False","0.14"
"1","1","Ambitious Farmhand // Seasoned Cathar","mid","Near Mint","English","","","2023-10-01 10:02:06.313000","2","False","False","0.14"
"1","1","Ambitious Farmhand // Seasoned Cathar","mid","Good (Lightly Played)","English","","","2023-10-01 10:02:06.313000","2","False","False","0.14"
"1","1","Ambitious Farmhand // Seasoned Cathar","mid","Good (Lightly Played)","English","","","2023-10-01 10:02:06.313000","2","False","False","0.14"
"1","1","Ambitious Farmhand // Seasoned Cathar","mid","Played","English","","","2023-10-01 10:02:06.313000","2","False","False","0.14"
"1","1","Ambitious Farmhand // Seasoned Cathar","mid","Mint","German","foil","","2023-10-01 10:02:06.313000","2","False","False","0.20"
"1","1","Ambuscade","hou","Near Mint","German","","","2023-10-01 10:02:06.313000","110","False","False","0.09"
"1","1","Amphin Mutineer","lcc","Near Mint","English","","","2023-12-24 22:14:40.263000","143","False","False",""
"1","1","An Offer You Can't Refuse","snc","Near Mint","German","","","2023-10-01 10:02:06.313000","51","False","False","1.00"
"1","1","Anafenza, Kin-Tree Spirit","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","97","False","False","0.19"
"4","4","Anax, Hardened in the Forge","thb","Near Mint","German","","","2023-10-01 10:02:06.313000","125","False","False","0.13"
"1","1","Ancestors' Aid","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","132","False","False","0.09"
"1","1","Ancestors' Aid","lci","Near Mint","English","foil","","2024-01-13 22:15:22.680000","132","False","False","0.16"
"1","1","Ancestral Anger","vow","Near Mint","German","","","2023-10-01 10:02:06.313000","142","False","False","0.08"
"1","1","Ancestral Blade","cmr","Near Mint","German","","","2023-10-01 10:02:06.313000","5","False","False","0.05"
"1","1","Ancestral Katana","neo","Near Mint","English","","","2023-10-01 10:02:06.313000","1","False","False","0.07"
"2","2","Ancestral Reminiscence","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","45","False","False","0.13"
"3","3","Anchor to Reality","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","45","False","False","0.07"
"1","1","Anchor to Reality","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","45","False","False","0.14"
"1","1","Anchor to Reality","neo","Near Mint","German","foil","","2023-10-01 10:02:06.313000","45","False","False","0.34"
"1","1","Ancient Animus","cmr","Near Mint","German","","","2023-10-01 10:02:06.313000","215","False","False","0.02"
"2","2","Ancient Brontodon","xln","Near Mint","German","","","2023-10-01 10:02:06.313000","175","False","False","0.03"
"1","1","Ancient Craving","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","117","False","False","0.04"
"1","1","Ancient Lumberknot","vow","Near Mint","German","","","2023-10-01 10:02:06.313000","230","False","False","0.06"
"1","1","Angel","tlci","Near Mint","English","","","2024-01-13 22:15:22.680000","2","False","False",""
"1","1","Angel of Finality","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","17","False","False","0.07"
"1","1","Angel of Flight Alabaster","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","77","False","False","0.28"
"1","1","Angel of Serenity","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","18","False","False","0.15"
"1","1","Angelic Quartermaster","vow","Near Mint","German","","","2023-10-01 10:02:06.313000","2","False","False","0.22"
"1","1","Angrath's Marauders","lcc","Near Mint","English","","","2023-12-24 22:14:40.263000","215","False","False",""
"1","1","Anje's Ravager","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","141","False","False","0.40"
"1","1","Anointed Deacon","xln","Near Mint","German","","","2023-10-01 10:02:06.313000","89","False","False","0.02"
"2","2","Another Chance","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","90","False","False","0.09"
"1","1","Anowon, the Ruin Sage","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","118","False","False","0.30"
"1","1","Anowon, the Ruin Thief","znc","Near Mint","German","foil","","2023-10-01 10:02:06.313000","1","False","False","0.75"
"1","1","Anticipate","iko","Near Mint","German","","","2023-10-01 10:02:06.313000","40","False","False","0.11"
"1","1","Apex Altisaur","lcc","Near Mint","English","","","2023-12-24 22:35:19.740000","232","False","False",""
"1","1","Appetite for the Unnatural","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","141","False","False","0.05"
"1","1","Apprentice Sharpshooter","vow","Near Mint","German","","","2023-10-01 10:02:06.313000","185","False","False","0.02"
"1","1","Aquamoeba","dmr","Near Mint","German","","","2023-10-01 10:02:06.313000","38","False","False","0.05"
"1","1","Aquatic Alchemist // Bubble Up","woe","Near Mint","English","","","2023-10-01 10:02:06.313000","40","False","False","0.01"
"1","1","Aquatic Alchemist // Bubble Up","woe","Near Mint","English","foil","","2023-10-01 10:02:06.313000","40","False","False","0.09"
"2","2","Aqueous Form","cmr","Near Mint","German","","","2023-10-01 10:02:06.313000","56","False","False","0.08"
"1","1","Arachnoform","khm","Near Mint","German","","","2023-10-01 10:02:06.313000","159","False","False","0.03"
"2","2","Arborback Stomper","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","142","False","False","0.01"
"1","1","Arcane Artisan","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","36","False","False","0.30"
"1","1","Arcane Denial","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","102","False","False","0.86"
"1","1","Arcane Sanctum","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","196","False","False","0.18"
"1","1","Arcane Signet","cmr","Near Mint","German","","","2023-10-01 10:02:06.313000","297","False","False","0.99"
"1","1","Arcane Signet","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","159","False","False","0.70"
"1","1","Arcane Signet","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","159","False","False","0.96"
"1","1","Arcane Signet","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","96","False","False","0.72"
"1","1","Arcane Signet","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","96","False","False","0.72"
"1","1","Arcane Signet","znc","Near Mint","German","","","2023-10-01 10:02:06.313000","106","False","False","1.00"
"1","1","Arcane Signet","znc","Near Mint","German","","","2023-10-01 10:02:06.313000","106","False","False","1.00"
"4","4","Arcane Signet","lcc","Near Mint","English","","","2023-12-24 22:14:40.263000","299","False","False",""
"1","1","Arcane Signet","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","177","False","False","0.91"
"1","1","Arcane Signet","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","177","False","False","0.82"
"1","1","Arcbound Mouser","mh2","Near Mint","German","","","2023-10-01 10:02:06.313000","3","False","False","0.11"
"2","2","Arcbound Prototype","mh2","Near Mint","German","","","2023-10-01 10:02:06.313000","4","False","False","0.19"
"1","1","Arcbound Slasher","mh2","Near Mint","German","","","2023-10-01 10:02:06.313000","111","False","False","0.19"
"1","1","Arcbound Tracker","mh2","Near Mint","German","","","2023-10-01 10:02:06.313000","112","False","False","0.10"
"1","1","Arcbound Tracker","mh2","Near Mint","German","foil","","2023-10-01 10:02:06.313000","112","False","False","0.11"
"1","1","Arcbound Whelp","mh2","Near Mint","German","","","2023-10-01 10:02:06.313000","113","False","False","0.02"
"1","1","Arch of Orazca","lcc","Near Mint","English","","","2023-12-24 22:35:19.740000","319","False","False",""
"1","1","Archelos, Lagoon Mystic","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","140","False","False","0.15"
"1","1","Archive Dragon","woe","Near Mint","English","","","2023-10-01 10:05:48.427000","41","False","False","0.04"
"1","1","Archmage Emeritus","pstx","Near Mint","German","","","2023-10-01 10:02:06.313000","37p","False","False","3.45"
"3","3","Archon of Sun's Grace","thb","Near Mint","German","","","2023-10-01 10:02:06.313000","3","False","False","0.50"
"1","1","Arctic Treeline","khm","Near Mint","German","","","2023-10-01 10:02:06.313000","249","False","False","0.22"
"1","1","Ardent Elementalist","mid","Near Mint","German","","","2023-10-01 10:02:06.313000","128","False","False","0.11"
"1","1","Argivian Cavalier","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","4","False","False","0.03"
"1","1","Argivian Cavalier","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","4","False","False","0.05"
"1","1","Argothian Sprite","bro","Near Mint","German","","","2023-10-01 10:02:06.313000","168","False","False","0.02"
"1","1","Arlinn, the Pack's Hope // Arlinn, the Moon's Fury","mid","Near Mint","German","","","2023-10-01 10:02:06.313000","279","False","False","10.00"
"1","1","Arm the Cathars","dbl","Near Mint","German","","","2023-10-01 10:02:06.313000","270","False","False",""
"1","1","Armguard Familiar","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","46","False","False","0.06"
"1","1","Armguard Familiar","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","46","False","False","0.03"
"1","1","Armillary Sphere","cmr","Near Mint","German","","","2023-10-01 10:02:06.313000","298","False","False","0.05"
"1","1","Arm-Mounted Anchor","lcc","Near Mint","English","","","2023-12-24 22:14:40.263000","99","False","False",""
"2","2","Armorcraft Judge","kld","Near Mint","English","","","2023-10-01 10:02:06.313000","144","False","False","0.02"
"1","1","Armorcraft Judge","znc","Near Mint","German","","","2023-10-01 10:02:06.313000","60","False","False","0.10"
"2","2","Armored Kincaller","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","174","False","False","0.08"
"1","1","Armory Mice","woe","Near Mint","German","","","2023-10-25 10:26:22.653000","3","False","False","0.08"
"1","1","Arni Brokenbrow","khm","Near Mint","German","","","2023-10-01 10:02:06.313000","120","False","False","0.05"
"1","1","Aron, Benalia's Ruin","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","292","False","False","0.06"
"1","1","Aron, Benalia's Ruin","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","292","False","False","0.04"
"1","1","Aron, Benalia's Ruin","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","193","False","False","0.10"
"1","1","Aron, Benalia's Ruin","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","193","False","False","0.08"
"1","1","Arrester's Admonition","rna","Near Mint","German","","","2023-10-01 10:02:06.313000","31","False","False","0.02"
"3","3","Arrester's Zeal","rna","Near Mint","German","","","2023-10-01 10:02:06.313000","4","False","False","0.02"
"2","2","Arrogant Poet","stx","Near Mint","German","","","2023-10-01 10:02:06.313000","63","False","False","0.04"
"1","1","Arterial Alchemy","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","23","False","False","0.10"
"1","1","Artillery Blast","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","6","False","False","0.08"
"1","1","Artillery Blast","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","6","False","False","0.01"
"1","1","Arvad the Cursed","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","141","False","False","0.18"
"1","1","Ascendant Packleader","vow","Near Mint","German","","","2023-10-01 10:02:06.313000","186","False","False","1.08"
"1","1","Ash, Party Crasher","woe","Near Mint","English","","","2023-10-01 10:02:06.313000","201","False","False","0.02"
"1","1","Ashaya, Soul of the Wild","znr","Near Mint","German","","","2023-10-01 10:02:06.313000","179","False","False","5.89"
"1","1","Ashiok's Reaper","woe","Near Mint","English","","","2023-10-01 10:02:06.313000","79","False","False","0.08"
"1","1","Ashiok's Reaper","woe","Near Mint","German","","","2023-10-25 10:26:22.653000","79","False","False","0.16"
"1","1","Ashling the Pilgrim","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","119","False","False","0.15"
"1","1","Ashnod, Flesh Mechanist","bro","Near Mint","German","","","2023-10-01 12:08:18.137000","84","False","False",""
"1","1","Ashnod's Intervention","bro","Near Mint","German","","","2023-10-01 10:02:06.313000","85","False","False","0.16"
"1","1","Asmodeus the Archfiend","afr","Near Mint","German","","","2023-10-01 10:02:06.313000","88","False","False","0.30"
"2","2","Assassin's Ink","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","87","False","False","0.02"
"1","1","Assassin's Ink","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","87","False","False","0.16"
"1","1","Atla Palani, Nest Tender","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","142","False","False","0.19"
"1","1","Attended Socialite","snc","Near Mint","German","","","2023-10-01 10:02:06.313000","133","False","False","0.02"
"1","1","Attentive Sunscribe","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","4","False","False","0.08"
"2","2","Atzocan Archer","xln","Near Mint","German","","","2023-10-01 10:02:06.313000","176","False","False","0.10"
"1","1","Atzocan Seer","lcc","Near Mint","English","","","2023-12-24 22:35:19.740000","265","False","False",""
"3","3","Audacious Infiltrator","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","7","False","False","0.05"
"1","1","Audacity","bro","Near Mint","German","","","2023-10-01 10:02:06.313000","169","False","False","0.12"
"3","3","Augmenting Automaton","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","143","False","False","0.05"
"1","1","Austere Command","lcc","Near Mint","English","","","2023-12-24 22:40:47.713000","126","False","False",""
"2","2","Automated Artificer","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","239","False","False","0.09"
"1","1","Automated Artificer","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","239","False","False","0.03"
"1","1","Automated Artificer","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","239","False","False","0.04"
"1","1","Automatic Librarian","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","229","False","False","0.01"
"1","1","Avacynian Missionaries // Lunarch Inquisitors","soi","Near Mint","German","","","2023-10-01 10:02:06.313000","6","False","False","0.04"
"1","1","Avacyn's Judgment","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","142","False","False","0.05"
"2","2","Avarax","dmr","Near Mint","German","","","2023-10-01 10:02:06.313000","112","False","False","0.02"
"2","2","Aven Fateshaper","dmr","Near Mint","German","","","2023-10-01 10:02:06.313000","40","False","False","0.05"
"1","1","Aven Fisher","dmr","Near Mint","German","","","2023-10-01 10:02:06.313000","41","False","False","0.02"
"1","1","Aven Fisher","dmr","Near Mint","English","","","2023-11-16 17:55:29.123000","41","False","False",""
"1","1","Aven Gagglemaster","m21","Near Mint","English","","","2023-10-01 10:02:06.313000","5","False","False","0.02"
"1","1","Aven Gagglemaster","m21","Near Mint","English","","","2023-10-01 10:02:06.313000","5","False","False","0.02"
"1","1","Aven Heartstabber","snc","Near Mint","German","","","2023-10-01 10:02:06.313000","166","False","False","0.04"
"1","1","Aven of Enduring Hope","hou","Near Mint","German","","","2023-10-01 10:02:06.313000","5","False","False","0.02"
"1","1","Avenger of Zendikar","cmr","Near Mint","German","","","2023-10-01 10:02:06.313000","422","False","False","5.98"
"3","3","Aviary Mechanic","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","6","False","False","0.33"
"2","2","Axebane Beast","rna","Near Mint","German","","","2023-10-01 10:02:06.313000","121","False","False","0.02"
"1","1","Axgard Cavalry","khm","Near Mint","German","","","2023-10-01 10:02:06.313000","121","False","False","0.08"
"4","4","Axgard Cavalry","khm","Near Mint","German","","","2023-10-01 10:02:06.313000","121","False","False","0.19"
"1","1","Azorius Chancery","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","106","False","False","0.04"
"1","1","Azorius Chancery","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","171","False","False","0.08"
"1","1","Azorius Guildgate","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","107","False","False","0.02"
"5","5","Azorius Guildgate","rna","Near Mint","German","","","2023-10-01 10:02:06.313000","244","False","False","0.02"
"1","1","Azorius Knight-Arbiter","rna","Near Mint","German","","","2023-10-01 10:02:06.313000","154","False","False","0.02"
"1","1","Azorius Locket","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","160","False","False","0.02"
"1","1","Azorius Signet","voc","Near Mint","German","","","2023-10-01 10:02:06.313000","161","False","False","0.35"
"1","1","Azorius Signet","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","97","False","False","0.25"
"1","1","Azure Fleet Admiral","lcc","Near Mint","English","","","2023-12-24 22:14:40.263000","144","False","False",""
"1","1","Azusa, Lost but Seeking","m21","Near Mint","German","","","2023-10-01 10:02:06.313000","173","False","False","5.44"
"1","1","Azusa's Many Journeys // Likeness of the Seeker","neo","Near Mint","German","","","2023-10-01 10:02:06.313000","172","False","False","0.18"
"1","1","Back for Seconds","woe","Near Mint","German","","","2023-10-25 10:26:22.653000","80","False","False","0.20"
"1","1","Backstreet Bruiser","snc","Near Mint","German","","","2023-10-01 10:02:06.313000","35","False","False","0.02"
"1","1","Backup Agent","snc","Near Mint","German","","","2023-10-01 10:02:06.313000","2","False","False","0.02"
"1","1","Bad River","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","197","False","False","0.65"
