Card,Set ID,Set Name,Quantity,Foil
"Kumena's Speaker",XLN,"",3,""
"Lightning Strike",XLN,"",4,""
"Merfolk Branchwalker",XLN,"",1,""
"One With the Wind",XLN,"",2,""
"Paladin of the Bloodstained",XLN,"",2,""
"Raptor Hatchling",XLN,"",2,""
"Repeating Barrage",XLN,"",1,""
"River Heralds' Boon",XLN,"",3,""
"River Sneak",XLN,"",2,""
"River's Rebuke",XLN,"",1,""
"Rootbound Crag",XLN,"",1,""
"Rowdy Crew",XLN,"",1,""
"Ruin Raider",XLN,"",1,""
"Sanctum Seeker",XLN,"",1,""
"Bishop's Soldier",XLN,"",3,""
"Burning Sun's Avatar",XLN,"",2,""
"Call to the Feast",XLN,"",3,""
"Captivating Crew",XLN,"",1,""
"Carnage Tyrant",XLN,"",1,""
"Charging Monstrosaur",XLN,"",4,""
"Chart a Course",XLN,"",2,""
"Costly Plunder",XLN,"",2,""
"Deeproot Champion",XLN,"",1,""
"Dragonskull Summit",XLN,"",1,""
"Dreamcaller Siren",XLN,"",1,""
"Drover of the Mighty",XLN,"",1,""
"Drowned Catacomb",XLN,"",1,""
"Entrancing Melody",XLN,"",1,""
"Favorable Winds",XLN,"",3,""
"Frenzied Raptor",XLN,"",2,""
"Gilded Sentinel",XLN,"",2,""
"Glacial Fortress",XLN,"",1,""
"Goring Ceratops",XLN,"",1,""
"Plains",DOM,"",1,""
"Plains",DOM,"",1,""
"Plains",DOM,"",1,""
"Island",DOM,"",1,""
"Island",DOM,"",1,""
"Island",DOM,"",1,""
"Swamp",DOM,"",1,""
"Swamp",DOM,"",1,""
"Swamp",DOM,"",1,""
"Mountain",DOM,"",1,""
"Mountain",DOM,"",1,""
"Mountain",DOM,"",1,""
"Forest",DOM,"",1,""
"Forest",DOM,"",1,""
"Forest",DOM,"",1,""
"Plains",RIX,"",1,""
"Island",RIX,"",1,""
"Swamp",RIX,"",1,""
"Mountain",RIX,"",1,""
"Forest",RIX,"",1,""
"Plains",XLN,"",1,""
"Plains",XLN,"",1,""
"Plains",XLN,"",1,""
"Plains",XLN,"",1,""
"Island",XLN,"",1,""
"Island",XLN,"",1,""
"Island",XLN,"",1,""
"Island",XLN,"",1,""
"Swamp",XLN,"",1,""
"Swamp",XLN,"",1,""
"Swamp",XLN,"",1,""
"Swamp",XLN,"",1,""
"Mountain",XLN,"",1,""
"Mountain",XLN,"",1,""
"Mountain",XLN,"",1,""
"Mountain",XLN,"",1,""
"Forest",XLN,"",1,""
"Forest",XLN,"",1,""
"Forest",XLN,"",1,""
"Forest",XLN,"",1,""
"Ajani, Adversary of Tyrants",M19,"",1,""
"Ajani's Last Stand",M19,"",1,""
"Ajani's Pridemate",M19,"",3,""
"Ajani's Welcome",M19,"",2,""
"Cavalry Drillmaster",M19,"",3,""
"Daybreak Chaplain",M19,"",4,""
"Gallant Cavalry",M19,"",1,""
"Herald of Faith",M19,"",2,""
"Hieromancer's Cage",M19,"",4,""
"Inspired Charge",M19,"",2,""
"Knight of the Tusk",M19,"",1,""
"Knight's Pledge",M19,"",4,""
"Knightly Valor",M19,"",2,""
"Leonin Vanguard",M19,"",3,""
"Leonin Warleader",M19,"",3,""
"Loxodon Line Breaker",M19,"",4,""
"Luminous Bonds",M19,"",3,""
"Make a Stand",M19,"",1,""
"Mentor of the Meek",M19,"",1,""
"Militia Bugler",M19,"",3,""
"Novice Knight",M19,"",3,""
"Oreskos Swiftclaw",M19,"",3,""
"Pegasus Courser",M19,"",2,""
"Resplendent Angel",M19,"",1,""
"Star-Crowned Stag",M19,"",4,""
"Take Vengeance",M19,"",3,""
"Aven Wind Mage",M19,"",4,""
"Aviation Pioneer",M19,"",4,""
"Departed Deckhand",M19,"",3,""
"Disperse",M19,"",4,""
"Essence Scatter",M19,"",1,""
"Exclusion Mage",M19,"",2,""
"Gearsmith Prodigy",M19,"",3,""
"Ghostform",M19,"",2,""
"Mystic Archaeologist",M19,"",1,""
"Omniscience",M19,"",1,""
"One with the Machine",M19,"",2,""
"Sai, Master Thopterist",M19,"",1,""
"Salvager of Secrets",M19,"",4,""
"Scholar of Stars",M19,"",2,""
"Sift",M19,"",4,""
"Sleep",M19,"",2,""
"Supreme Phantom",M19,"",1,""
"Tolarian Scholar",M19,"",1,""
"Totally Lost",M19,"",1,""
"Wall of Mist",M19,"",2,""
"Blood Divination",M19,"",2,""
"Death Baron",M19,"",2,""
"Demon of Catastrophes",M19,"",1,""
"Diregraf Ghoul",M19,"",2,""
"Doomed Dissenter",M19,"",4,""
"Epicure of Blood",M19,"",3,""
"Gravedigger",M19,"",3,""
"Hired Blade",M19,"",4,""
"Infectious Horror",M19,"",3,""
"Lich's Caress",M19,"",1,""
"Liliana's Contract",M19,"",1,""
"Murder",M19,"",4,""
"Nightmare's Thirst",M19,"",4,""
"Open the Graves",M19,"",2,""
"Phylactery Lich",M19,"",1,""
"Ravenous Harpy",M19,"",4,""
"Reassembling Skeleton",M19,"",2,""
"Rise from the Grave",M19,"",3,""
"Sovereign's Bite",M19,"",1,""
"Strangling Spores",M19,"",3,""
"Two-Headed Zombie",M19,"",1,""
"Vampire Sovereign",M19,"",3,""
"Walking Corpse",M19,"",4,""
"Act of Treason",M19,"",4,""
"Banefire",M19,"",2,""
"Boggart Brute",M19,"",3,""
"Crash Through",M19,"",1,""
"Demanding Dragon",M19,"",1,""
"Dismissive Pyromancer",M19,"",1,""
"Doublecast",M19,"",2,""
"Fiery Finish",M19,"",2,""
"Fire Elemental",M19,"",1,""
"Goblin Instigator",M19,"",4,""
"Goblin Trashmaster",M19,"",1,""
"Guttersnipe",M19,"",2,""
"Havoc Devils",M19,"",3,""
"Lathliss, Dragon Queen",M19,"",1,""
"Lightning Strike",M19,"",1,""
"Onakke Ogre",M19,"",2,""
"Shock",M19,"",4,""
"Sparktongue Dragon",M19,"",2,""
"Spit Flame",M19,"",1,""
"Sure Strike",M19,"",3,""
"Tormenting Voice",M19,"",2,""
"Trumpet Blast",M19,"",2,""
"Viashino Pyromancer",M19,"",2,""
"Volcanic Dragon",M19,"",2,""
"Blanchwood Armor",M19,"",2,""
"Bristling Boar",M19,"",3,""
"Centaur Courser",M19,"",3,""
"Colossal Dreadmaw",M19,"",1,""
"Colossal Majesty",M19,"",2,""
"Declare Dominance",M19,"",1,""
"Druid of Horns",M19,"",3,""
"Druid of the Cowl",M19,"",4,""
"Elvish Rejuvenator",M19,"",4,""
"Giant Spider",M19,"",1,""
"Gigantosaurus",M19,"",1,""
"Goreclaw, Terror of Qal Sisma",M19,"",1,""
"Greenwood Sentinel",M19,"",4,""
"Highland Game",M19,"",4,""
"Naturalize",M19,"",2,""
"Oakenform",M19,"",3,""
"Pelakka Wurm",M19,"",1,""
"Plummet",M19,"",1,""
"Prodigious Growth",M19,"",2,""
"Rabid Bite",M19,"",4,""
"Reclamation Sage",M19,"",1,""
"Root Snare",M19,"",1,""
"Thorn Lieutenant",M19,"",1,""
"Titanic Growth",M19,"",3,""
"Vigilant Baloth",M19,"",3,""
"Brawl-Bash Ogre",M19,"",4,""
"Draconic Disciple",M19,"",4,""
"Enigma Drake",M19,"",3,""
"Heroic Reinforcements",M19,"",3,""
"Poison-Tip Archer",M19,"",3,""
"Psychic Symbiont",M19,"",1,""
"Regal Bloodlord",M19,"",1,""
"Satyr Enchanter",M19,"",3,""
"Amulet of Safekeeping",M19,"",1,""
"Arcane Encyclopedia",M19,"",1,""
"Diamond Mare",M19,"",1,""
"Field Creeper",M19,"",4,""
"Gearsmith Guardian",M19,"",3,""
"Meteor Golem",M19,"",2,""
"Millstone",M19,"",1,""
"Skyscanner",M19,"",1,""
"Cinder Barrens",M19,"",4,""
"Detection Tower",M19,"",1,""
"Forsaken Sanctuary",M19,"",4,""
"Foul Orchard",M19,"",4,""
"Highland Lake",M19,"",4,""
"Meandering River",M19,"",4,""
"Stone Quarry",M19,"",4,""
"Submerged Boneyard",M19,"",4,""
"Timber Gorge",M19,"",4,""
"Tranquil Expanse",M19,"",4,""
"Woodland Stream",M19,"",4,""
"Plains",M19,"",1,""
"Plains",M19,"",1,""
"Plains",M19,"",1,""
"Plains",M19,"",1,""
"Island",M19,"",1,""
"Island",M19,"",1,""
"Island",M19,"",1,""
"Island",M19,"",1,""
"Swamp",M19,"",1,""
"Swamp",M19,"",1,""
"Swamp",M19,"",1,""
"Swamp",M19,"",1,""
"Mountain",M19,"",1,""
"Mountain",M19,"",1,""
"Mountain",M19,"",1,""
"Mountain",M19,"",1,""
"Forest",M19,"",1,""
"Forest",M19,"",1,""
"Forest",M19,"",1,""
"Serra's Guardian",M19,"",1,""
"Silverbeak Griffin",M19,"",2,""
"Riddlemaster Sphinx",M19,"",2,""
"Gravewaker",M19,"",2,""
"Kargan Dragonrider",M19,"",3,""
"Aggressive Mammoth",M19,"",1,""
"Air Elemental",M19,"",3,""
"Befuddle",M19,"",1,""
"Llanowar Elves",M19,"",3,""
"Angelic Reward",ANA,"",2,""
"Confront the Assault",ANA,"",1,""
"Inspiring Commander",ANA,"",2,""
"Serra Angel",ANA,"",2,""
"Spiritual Guardian",ANA,"",3,""
"Tactical Advantage",ANA,"",3,""
"Blade Instructor",GRN,"",2,""
"Candlelight Vigil",GRN,"",1,""
"Collar the Culprit",GRN,"",1,""
"Conclave Tribunal",GRN,"",3,""
"Dawn of Hope",GRN,"",1,""
"Healer's Hawk",GRN,"",3,""
"Hunted Witness",GRN,"",3,""
"Intrusive Packbeast",GRN,"",1,""
"Light of the Legion",GRN,"",1,""
"Luminous Bonds",GRN,"",1,""
"Parhelion Patrol",GRN,"",1,""
"Righteous Blow",GRN,"",2,""
"Roc Charger",GRN,"",2,""
"Skyline Scout",GRN,"",1,""
"Sunhome Stalwart",GRN,"",3,""
"Sworn Companions",GRN,"",2,""
"Take Heart",GRN,"",2,""
"Venerated Loxodon",GRN,"",1,""
"Chemister's Insight",GRN,"",2,""
"Citywatch Sphinx",GRN,"",1,""
"Dazzling Lights",GRN,"",1,""
"Devious Cover-Up",GRN,"",2,""
"Dimir Informant",GRN,"",1,""
"Disdainful Stroke",GRN,"",2,""
"Guild Summit",GRN,"",1,""
"Leapfrog",GRN,"",2,""
"Mission Briefing",GRN,"",1,""
"Murmuring Mystic",GRN,"",3,""
"Muse Drake",GRN,"",1,""
"Nightveil Sprite",GRN,"",2,""
"Quasiduplicate",GRN,"",2,""
"Radical Idea",GRN,"",2,""
"Selective Snare",GRN,"",1,""
"Sinister Sabotage",GRN,"",1,""
"Thoughtbound Phantasm",GRN,"",2,""
"Unexplained Disappearance",GRN,"",2,""
"Watcher in the Mist",GRN,"",2,""
"Barrier of Bones",GRN,"",1,""
"Blood Operative",GRN,"",1,""
"Burglar Rat",GRN,"",2,""
"Child of Night",GRN,"",4,""
"Dead Weight",GRN,"",2,""
"Deadly Visit",GRN,"",2,""
"Doom Whisperer",GRN,"",1,""
"Douser of Lights",GRN,"",1,""
"Gruesome Menagerie",GRN,"",1,""
"Kraul Swarm",GRN,"",2,""
"Lotleth Giant",GRN,"",2,""
"Mephitic Vapors",GRN,"",1,""
"Midnight Reaper",GRN,"",1,""
"Moodmark Painter",GRN,"",1,""
"Plaguecrafter",GRN,"",2,""
"Severed Strands",GRN,"",3,""
"Spinal Centipede",GRN,"",3,""
"Whispering Snitch",GRN,"",2,""
"Barging Sergeant",GRN,"",3,""
"Cosmotronic Wave",GRN,"",1,""
"Erratic Cyclops",GRN,"",1,""
"Experimental Frenzy",GRN,"",1,""
"Fearless Halberdier",GRN,"",1,""
"Fire Urchin",GRN,"",2,""
"Goblin Banneret",GRN,"",3,""
"Inescapable Blaze",GRN,"",2,""
"Lava Coil",GRN,"",2,""
"Legion Warboss",GRN,"",1,""
"Ornery Goblin",GRN,"",1,""
"Runaway Steam-Kin",GRN,"",1,""
"Smelt-Ward Minotaur",GRN,"",1,""
"Street Riot",GRN,"",1,""
"Sure Strike",GRN,"",3,""
"Torch Courier",GRN,"",1,""
"Devkarin Dissident",GRN,"",1,""
"District Guide",GRN,"",2,""
"Generous Stray",GRN,"",3,""
"Golgari Raiders",GRN,"",1,""
"Hitchclaw Recluse",GRN,"",1,""
"Kraul Foragers",GRN,"",1,""
"Kraul Harpooner",GRN,"",2,""
"Might of the Masses",GRN,"",2,""
"Nullhide Ferox",GRN,"",1,""
"Pause for Reflection",GRN,"",1,""
"Pelt Collector",GRN,"",1,""
"Portcullis Vine",GRN,"",2,""
"Prey Upon",GRN,"",1,""
"Siege Wurm",GRN,"",2,""
"Urban Utopia",GRN,"",2,""
"Vigorspore Wurm",GRN,"",1,""
"Wary Okapi",GRN,"",1,""
"Wild Ceratok",GRN,"",1,""
"Artful Takedown",GRN,"",2,""
"Assassin's Trophy",GRN,"",1,""
"Aurelia, Exemplar of Justice",GRN,"",1,""
"Boros Challenger",GRN,"",2,""
"Centaur Peacemaker",GRN,"",2,""
"Charnel Troll",GRN,"",1,""
"Conclave Cavalier",GRN,"",3,""
"Conclave Guildmage",GRN,"",1,""
"Crackling Drake",GRN,"",2,""
"Darkblade Agent",GRN,"",1,""
"Dimir Spybug",GRN,"",2,""
"Disinformation Campaign",GRN,"",1,""
"Emmara, Soul of the Accord",GRN,"",1,""
"Erstwhile Trooper",GRN,"",3,""
"Etrata, the Silencer",GRN,"",1,""
"Firemind's Research",GRN,"",1,""
"Garrison Sergeant",GRN,"",2,""
"Glowspore Shaman",GRN,"",4,""
"Goblin Electromancer",GRN,"",3,""
"Golgari Findbroker",GRN,"",2,""
"Hammer Dropper",GRN,"",2,""
"House Guildmage",GRN,"",2,""
"Izoni, Thousand-Eyed",GRN,"",1,""
"Justice Strike",GRN,"",3,""
"Knight of Autumn",GRN,"",1,""
"League Guildmage",GRN,"",2,""
"Legion Guildmage",GRN,"",2,""
"March of the Multitudes",GRN,"",1,""
"Molderhulk",GRN,"",1,""
"Nightveil Predator",GRN,"",2,""
"Niv-Mizzet, Parun",GRN,"",1,""
"Notion Rain",GRN,"",2,""
"Ochran Assassin",GRN,"",1,""
"Ral, Izzet Viceroy",GRN,"",1,""
"Rhizome Lurcher",GRN,"",2,""
"Rosemane Centaur",GRN,"",2,""
"Skyknight Legionnaire",GRN,"",2,""
"Sumala Woodshaper",GRN,"",1,""
"Swarm Guildmage",GRN,"",2,""
"Swathcutter Giant",GRN,"",2,""
"Swiftblade Vindicator",GRN,"",1,""
"Tajic, Legion's Edge",GRN,"",2,""
"Thief of Sanity",GRN,"",1,""
"Thought Erasure",GRN,"",1,""
"Thousand-Year Storm",GRN,"",1,""
"Truefire Captain",GRN,"",2,""
"Undercity Uprising",GRN,"",1,""
"Underrealm Lich",GRN,"",1,""
"Wee Dragonauts",GRN,"",3,""
"Fresh-Faced Recruit",GRN,"",1,""
"Whisper Agent",GRN,"",2,""
"Assure // Assemble",GRN,"",1,""
"Connive // Concoct",GRN,"",1,""
"Discovery // Dispersal",GRN,"",2,""
"Expansion // Explosion",GRN,"",1,""
"Find // Finality",GRN,"",1,""
"Flower // Flourish",GRN,"",3,""
"Integrity // Intervention",GRN,"",1,""
"Response // Resurgence",GRN,"",1,""
"Status // Statue",GRN,"",2,""
"Boros Locket",GRN,"",1,""
"Chamber Sentry",GRN,"",1,""
"Dimir Locket",GRN,"",1,""
"Izzet Locket",GRN,"",1,""
"Silent Dart",GRN,"",1,""
"Boros Guildgate",GRN,"",4,""
"Dimir Guildgate",GRN,"",4,""
"Golgari Guildgate",GRN,"",4,""
"Izzet Guildgate",GRN,"",4,""
"Overgrown Tomb",GRN,"",1,""
"Sacred Foundry",GRN,"",1,""
"Selesnya Guildgate",GRN,"",4,""
"Selesnya Guildgate",GRN,"",1,""
"Steam Vents",GRN,"",2,""
"Temple Garden",GRN,"",1,""
"Watery Grave",GRN,"",1,""
"Plains",GRN,"",1,""
"Island",GRN,"",1,""
"Swamp",GRN,"",1,""
"Mountain",GRN,"",1,""
"Forest",GRN,"",1,""
"Forest",M19,"",1,""
"Angel of Grace",RNA,"",1,""
"Arrester's Zeal",RNA,"",1,""
"Impassioned Orator",RNA,"",4,""
"Justiciar's Portal",RNA,"",1,""
"Knight of Sorrows",RNA,"",2,""
"Ministrant of Obligation",RNA,"",2,""
"Spirit of the Spires",RNA,"",1,""
"Summary Judgment",RNA,"",2,""
"Tithe Taker",RNA,"",1,""
"Unbreakable Formation",RNA,"",1,""
"Arrester's Admonition",RNA,"",2,""
"Benthic Biomancer",RNA,"",1,""
"Faerie Duelist",RNA,"",1,""
"Humongulus",RNA,"",1,""
"Mass Manipulation",RNA,"",1,""
"Precognitive Perception",RNA,"",1,""
"Skitter Eel",RNA,"",1,""
"Verity Circle",RNA,"",1,""
"Windstorm Drake",RNA,"",4,""
"Blade Juggler",RNA,"",2,""
"Consign to the Pit",RNA,"",1,""
"Ill-Gotten Inheritance",RNA,"",1,""
"Noxious Groodion",RNA,"",1,""
"Orzhov Enforcer",RNA,"",2,""
"Pestilent Spirit",RNA,"",1,""
"Priest of Forgotten Gods",RNA,"",1,""
"Spawn of Mayhem",RNA,"",1,""
"Undercity's Embrace",RNA,"",1,""
"Vindictive Vampire",RNA,"",3,""
"Act of Treason",RNA,"",1,""
"Burning-Tree Vandal",RNA,"",2,""
"Clamor Shaman",RNA,"",2,""
"Electrodominance",RNA,"",1,""
"Gates Ablaze",RNA,"",1,""
"Goblin Gathering",RNA,"",4,""
"Light Up the Stage",RNA,"",2,""
"Mirror March",RNA,"",1,""
"Rubblebelt Recluse",RNA,"",1,""
"Skewer the Critics",RNA,"",3,""
"Spear Spewer",RNA,"",2,""
"End-Raze Forerunners",RNA,"",1,""
"Gift of Strength",RNA,"",3,""
"Incubation Druid",RNA,"",1,""
"Sauroform Hybrid",RNA,"",2,""
"Silhana Wayfinder",RNA,"",4,""
"Steeple Creeper",RNA,"",1,""
"Titanic Brawl",RNA,"",2,""
"Wilderness Reclamation",RNA,"",1,""
"Aeromunculus",RNA,"",3,""
"Stony Strength",RNA,"",1,""
"Azorius Knight-Arbiter",RNA,"",2,""
"Azorius Skyguard",RNA,"",2,""
"Basilica Bell-Haunt",RNA,"",1,""
"Bedevil",RNA,"",1,""
"Biomancer's Familiar",RNA,"",1,""
"Bolrac-Clan Crusher",RNA,"",1,""
"Captive Audience",RNA,"",1,""
"Clan Guildmage",RNA,"",2,""
"Combine Guildmage",RNA,"",2,""
"Cult Guildmage",RNA,"",2,""
"Deputy of Detention",RNA,"",1,""
"Dovin's Acuity",RNA,"",2,""
"Final Payment",RNA,"",1,""
"Frenzied Arynx",RNA,"",2,""
"Galloping Lizrog",RNA,"",2,""
"Get the Point",RNA,"",2,""
"Grasping Thrull",RNA,"",2,""
"Growth Spiral",RNA,"",2,""
"Gruul Spellbreaker",RNA,"",1,""
"Gyre Engineer",RNA,"",2,""
"Hackrobat",RNA,"",3,""
"Hydroid Krasis",RNA,"",1,""
"Judith, the Scourge Diva",RNA,"",1,""
"Kaya's Wrath",RNA,"",1,""
"Lawmage's Binding",RNA,"",3,""
"Mortify",RNA,"",2,""
"Pitiless Pontiff",RNA,"",3,""
"Rakdos Firewheeler",RNA,"",2,""
"Rakdos Roustabout",RNA,"",2,""
"Ravager Wurm",RNA,"",1,""
"Rhythm of the Wild",RNA,"",2,""
"Rubblebelt Runner",RNA,"",1,""
"Savage Smash",RNA,"",2,""
"Senate Guildmage",RNA,"",2,""
"Seraph of the Scales",RNA,"",1,""
"Sharktocrab",RNA,"",3,""
"Sphinx of New Prahv",RNA,"",2,""
"Sphinx's Insight",RNA,"",2,""
"Sunder Shaman",RNA,"",2,""
"Teysa Karlov",RNA,"",1,""
"Theater of Horrors",RNA,"",1,""
"Zegana, Utopian Speaker",RNA,"",1,""
"Zhur-Taa Goblin",RNA,"",3,""
"Footlight Fiend",RNA,"",3,""
"Rubble Slinger",RNA,"",1,""
"Senate Griffin",RNA,"",2,""
"Bedeck // Bedazzle",RNA,"",1,""
"Carnival // Carnage",RNA,"",2,""
"Collision // Colossus",RNA,"",2,""
"Consecrate // Consume",RNA,"",2,""
"Depose // Deploy",RNA,"",2,""
"Incubation // Incongruity",RNA,"",1,""
"Revival // Revenge",RNA,"",1,""
"Thrash // Threat",RNA,"",1,""
"Warrant // Warden",RNA,"",1,""
"Orzhov Locket",RNA,"",1,""
"Azorius Guildgate",RNA,"",4,""
"Blood Crypt",RNA,"",1,""
"Breeding Pool",RNA,"",1,""
"Godless Shrine",RNA,"",1,""
"Gruul Guildgate",RNA,"",4,""
"Hallowed Fountain",RNA,"",1,""
"Orzhov Guildgate",RNA,"",4,""
"Rakdos Guildgate",RNA,"",4,""
"Simic Guildgate",RNA,"",4,""
"Stomping Ground",RNA,"",1,""
"Plains",RNA,"",1,""
"Island",RNA,"",1,""
"Swamp",RNA,"",1,""
"Mountain",RNA,"",1,""
"Forest",RNA,"",1,""
"Root Snare",RNA,"",1,""
"Applied Biomancy",RNA,"",2,""
"Ugin's Conjurant",WAR,"",1,""
"Ajani's Pridemate",WAR,"",3,""
"Battlefield Promotion",WAR,"",3,""
"Bond of Discipline",WAR,"",2,""
"Bulwark Giant",WAR,"",1,""
"Charmed Stray",WAR,"",4,""
"Defiant Strike",WAR,"",1,""
"Divine Arrow",WAR,"",2,""
"Enforcer Griffin",WAR,"",3,""
"Gideon's Sacrifice",WAR,"",3,""
"Grateful Apparition",WAR,"",1,""
"Ignite the Beacon",WAR,"",1,""
"Ironclad Krovod",WAR,"",4,""
"Law-Rune Enforcer",WAR,"",1,""
"Makeshift Battalion",WAR,"",1,""
"Parhelion II",WAR,"",1,""
"Pouncing Lynx",WAR,"",3,""
"Rising Populace",WAR,"",2,""
"Sunblade Angel",WAR,"",1,""
"Teyo, the Shieldmage",WAR,"",2,""
"Tomik, Distinguished Advokist",WAR,"",1,""
"Topple the Statue",WAR,"",1,""
"Trusted Pegasus",WAR,"",3,""
"The Wanderer",WAR,"",3,""
"Wanderer's Strike",WAR,"",2,""
"Ashiok's Skulker",WAR,"",3,""
"Augur of Bolas",WAR,"",2,""
"Aven Eternal",WAR,"",2,""
"Bond of Insight",WAR,"",1,""
"Callous Dismissal",WAR,"",2,""
"Commence the Endgame",WAR,"",1,""
"Contentious Plan",WAR,"",2,""
"Crush Dissent",WAR,"",1,""
"Erratic Visionary",WAR,"",3,""
"Fblthp, the Lost",WAR,"",2,""
"Jace, Wielder of Mysteries",WAR,"",2,""
"Jace's Triumph",WAR,"",1,""
"Kasmina, Enigmatic Mentor",WAR,"",1,""
"Kasmina's Transmutation",WAR,"",3,""
"Lazotep Plating",WAR,"",2,""
"Naga Eternal",WAR,"",1,""
"Relentless Advance",WAR,"",3,""
"Sky Theater Strix",WAR,"",3,""
"Stealth Mission",WAR,"",3,""
"Tamiyo's Epiphany",WAR,"",1,""
"Teferi's Time Twist",WAR,"",3,""
"Totally Lost",WAR,"",1,""
"Wall of Runes",WAR,"",4,""
"Aid the Fallen",WAR,"",2,""
"Banehound",WAR,"",4,""
"Bleeding Edge",WAR,"",1,""
"Bolas's Citadel",WAR,"",1,""
"Bond of Revival",WAR,"",1,""
"Charity Extractor",WAR,"",3,""
"Davriel, Rogue Shadowmage",WAR,"",1,""
"Dreadmalkin",WAR,"",1,""
"Duskmantle Operative",WAR,"",1,""
"The Elderspell",WAR,"",1,""
"Eternal Taskmaster",WAR,"",1,""
"Lazotep Behemoth",WAR,"",4,""
"Lazotep Reaver",WAR,"",2,""
"Ob Nixilis, the Hate-Twisted",WAR,"",1,""
"Price of Betrayal",WAR,"",1,""
"Shriekdiver",WAR,"",1,""
"Sorin's Thirst",WAR,"",2,""
"Spark Reaper",WAR,"",1,""
