Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Ancestral Reminiscence,Ancestral Reminiscence,The Lost Caverns of Ixalan,45,LCI,Normal,Near Mint,English,Common,526313,7549362
1,"Anim Pakal, Thousandth Moon (Showcase)","Anim Pakal, Thousandth Moon",The Lost Caverns of Ixalan,300,LCI,Normal,Near Mint,English,Rare,526135,7542137
1,Animate Spell,Animate Spell,Mystery Booster: Convention Edition Exclusives,16,CMB1,Normal,Near Mint,English,Special,202664,4265687
1,Annihilating Glare,Annihilating Glare,Phyrexia: All Will Be One,80,ONE,Normal,Near Mint,English,Common,479626,6965954
1,Another Chance,Another Chance,The Lost Caverns of Ixalan,90,LCI,Foil,Near Mint,English,Common,526312,7549287
2,Another Chance,Another Chance,The Lost Caverns of Ixalan,90,LCI,Normal,Near Mint,English,Common,526312,7549282
1,Aquatic Alchemist,Aquatic Alchemist,Wilds of Eldraine,40,WOE,Normal,Near Mint,English,Common,513349,7384269
1,Arachnoid Adaptation,Arachnoid Adaptation,March of the Machine,175,MOM,Foil,Near Mint,English,Common,491754,7088548
1,Arch of Orazca,Arch of Orazca,Commander Masters,986,CMM,Normal,Near Mint,English,Rare,506673,7292764
2,Arena of Glory,Arena of Glory,Modern Horizons 3,215,MH3,Normal,Near Mint,English,Rare,553264,7960399
1,Armored Kincaller,Armored Kincaller,The Lost Caverns of Ixalan,174,LCI,Normal,Near Mint,English,Common,526338,7550222
1,Artist's Talent,Artist's Talent,Promo Pack: Bloomburrow,124,PPBLB,Normal,Near Mint,English,Rare,560964,8072752
1,Atraxa's Fall,Atraxa's Fall,March of the Machine,176,MOM,Normal,Near Mint,English,Common,491732,7086778
1,Attentive Sunscribe,Attentive Sunscribe,The Lost Caverns of Ixalan,4,LCI,Normal,Near Mint,English,Common,526306,7548802
1,Awaken the Sleeper,Awaken the Sleeper,Phyrexia: All Will Be One,119,ONE,Normal,Near Mint,English,Uncommon,478812,6945090
1,Backwoods Survivalists,Backwoods Survivalists,The List Reprints,EMN-150,LIST,Normal,Near Mint,English,Common,202991,4267323
2,Bakersbane Duo,Bakersbane Duo,Bloomburrow,163,BLB,Foil,Near Mint,English,Common,559482,8042019
1,Bandit's Talent,Bandit's Talent,Bloomburrow,83,BLB,Foil,Near Mint,English,Uncommon,559150,8039988
1,Banishing Light,Banishing Light,Bloomburrow,1,BLB,Foil,Near Mint,English,Common,559497,8042899
1,Barging Sergeant,Barging Sergeant,Guilds of Ravnica,92,GRN,Normal,Near Mint,English,Common,175181,3843873
1,Barkform Harvester,Barkform Harvester,Bloomburrow,243,BLB,Normal,Near Mint,English,Common,558679,8031240
1,Barkform Harvester,Barkform Harvester,Bloomburrow,243,BLB,Foil,Near Mint,English,Common,558679,8031245
1,Bark-Knuckle Boxer,Bark-Knuckle Boxer,Bloomburrow,164,BLB,Normal,Near Mint,English,Uncommon,559073,8036886
1,Bartolome del Presidio (Showcase),Bartolome del Presidio,The Lost Caverns of Ixalan,301,LCI,Normal,Near Mint,English,Uncommon,526406,7554307
1,Basilica Shepherd,Basilica Shepherd,Phyrexia: All Will Be One,4,ONE,Normal,Near Mint,English,Common,479623,6965799
1,Basking Broodscale,Basking Broodscale,Modern Horizons 3,145,MH3,Normal,Near Mint,English,Common,552176,7923520
1,Basking Broodscale,Basking Broodscale,Modern Horizons 3,145,MH3,Foil,Near Mint,English,Common,552176,7923525
2,Basking Capybara,Basking Capybara,The Lost Caverns of Ixalan,175,LCI,Normal,Near Mint,English,Common,526139,7542457
1,Basking Capybara,Basking Capybara,The Lost Caverns of Ixalan,175,LCI,Foil,Near Mint,English,Common,526139,7542462
1,Bat Colony,Bat Colony,The Lost Caverns of Ixalan,5,LCI,Normal,Near Mint,English,Uncommon,525235,7520550
3,Battlefly Swarm,Battlefly Swarm,Dominaria United,81,DMU,Normal,Near Mint,English,Common,283684,5782245
2,Battle-Rage Blessing,Battle-Rage Blessing,Dominaria United,80,DMU,Normal,Near Mint,English,Common,283619,5777315
1,"Baylen, the Haymaker","Baylen, the Haymaker",Bloomburrow,205,BLB,Foil,Near Mint,English,Rare,559115,8037933
2,Belligerent Yearling,Belligerent Yearling,The Lost Caverns of Ixalan,133,LCI,Normal,Near Mint,English,Uncommon,525170,7518489
2,Belligerent Yearling (Borderless),Belligerent Yearling,The Lost Caverns of Ixalan,320,LCI,Normal,Near Mint,English,Uncommon,525174,7518809
1,Beregond of the Guard,Beregond of the Guard,Commander: The Lord of the Rings: Tales of Middle-earth,9,LTC,Normal,Near Mint,English,Rare,499748,7233036
2,Bespoke Battlewagon,Bespoke Battlewagon,Modern Horizons 3,52,MH3,Normal,Near Mint,English,Uncommon,553170,7957079
1,Bestial Bloodline,Bestial Bloodline,Wilds of Eldraine,162,WOE,Normal,Near Mint,English,Common,513953,7403942
1,Bite Down,Bite Down,Dominaria United,155,DMU,Normal,Near Mint,English,Common,283649,5779715
1,Bitter Triumph,Bitter Triumph,The Lost Caverns of Ixalan,91,LCI,Normal,Near Mint,English,Uncommon,526195,7543437
1,Black Knight,Black Knight,The List Reprints,M10-85,LIST,Normal,Near Mint,English,Uncommon,203596,4270348
1,Black Market,Black Market,Jumpstart,204,JMP,Normal,Near Mint,English,Rare,216565,4478224
1,Blacksmith's Skill,Blacksmith's Skill,Modern Horizons 2,6,MH2,Normal,Near Mint,English,Common,240197,4988693
1,Blacksmith's Talent,Blacksmith's Talent,Bloomburrow,125,BLB,Normal,Near Mint,English,Uncommon,559492,8042569
1,Bladed Ambassador,Bladed Ambassador,Phyrexia: All Will Be One,5,ONE,Normal,Near Mint,English,Uncommon,478948,6947365
1,Bladed Ambassador (Showcase),Bladed Ambassador,Phyrexia: All Will Be One,285,ONE,Normal,Near Mint,English,Uncommon,479628,6966059
1,Bladed Battle-Fan,Bladed Battle-Fan,March of the Machine,91,MOM,Normal,Near Mint,English,Common,491698,7084208
1,Blazing Crescendo,Blazing Crescendo,Phyrexia: All Will Be One,123,ONE,Normal,Near Mint,English,Common,479576,6962299
2,Blazing Effigy,Blazing Effigy,Legends,134,LEG,Normal,Near Mint,English,Common,3812,17765
1,Blessed Respite,Blessed Respite,Modern Horizons 2,150,MH2,Normal,Near Mint,English,Uncommon,240464,5006751
2,Blighted Burgeoning,Blighted Burgeoning,March of the Machine,177,MOM,Normal,Near Mint,English,Common,491729,7086538
1,Bloodletter of Aclazotz,Bloodletter of Aclazotz,The Lost Caverns of Ixalan,92,LCI,Normal,Near Mint,English,Mythic,524414,7509574
1,Bloodthorn Flail,Bloodthorn Flail,The Lost Caverns of Ixalan,93,LCI,Normal,Near Mint,English,Uncommon,525172,7518649
1,Blossoming Calm,Blossoming Calm,Modern Horizons 2,7,MH2,Normal,Near Mint,English,Uncommon,240187,4988213
1,Blur of Blades,Blur of Blades,The List Reprints,HOU-84,LIST,Normal,Near Mint,English,Common,204416,4274610
1,Bog Badger,Bog Badger,Dominaria United,156,DMU,Foil,Near Mint,English,Common,283263,5766133
1,Bola Slinger,Bola Slinger,March of the Machine,8,MOM,Normal,Near Mint,English,Common,491704,7084688
1,Bonded Herdbeast,Bonded Herdbeast,March of the Machine,178,MOM,Normal,Near Mint,English,Common,492056,7100050
1,Bonebind Orator,Bonebind Orator,Bloomburrow,84,BLB,Foil,Near Mint,English,Common,559762,8050967
1,Bonecache Overseer,Bonecache Overseer,Bloomburrow,85,BLB,Foil,Near Mint,English,Uncommon,558694,8032065
2,Bonepicker Skirge (Showcase),Bonepicker Skirge,Phyrexia: All Will Be One,290,ONE,Normal,Near Mint,English,Common,478837,6945815
1,Borrowed Hostility,Borrowed Hostility,Eldritch Moon,121,EMN,Normal,Near Mint,English,Common,120463,3158551
1,Boundary Lands Ranger,Boundary Lands Ranger,Wilds of Eldraine,123,WOE,Normal,Near Mint,English,Uncommon,513106,7379681
1,Braided Net,Braided Net,The Lost Caverns of Ixalan,47,LCI,Normal,Near Mint,English,Rare,525204,7519337
1,"Braids, Arisen Nightmare","Braids, Arisen Nightmare",Dominaria United,84,DMU,Normal,Near Mint,English,Rare,282758,5743131
2,Brambleguard Captain,Brambleguard Captain,Bloomburrow,127,BLB,Normal,Near Mint,English,Uncommon,558701,8032480
1,Brave the Wilds,Brave the Wilds,Wilds of Eldraine,165,WOE,Normal,Near Mint,English,Common,512716,7373310
3,Brave-Kin Duo,Brave-Kin Duo,Bloomburrow,3,BLB,Normal,Near Mint,English,Common,558592,8029839
1,Brazen Blademaster,Brazen Blademaster,The Lost Caverns of Ixalan,136,LCI,Normal,Near Mint,English,Common,526348,7550952
1,Brazen Buccaneers,Brazen Buccaneers,Ixalan,134,XLN,Normal,Near Mint,English,Common,145772,3470610
1,Break Ties,Break Ties,Modern Horizons 2,8,MH2,Normal,Near Mint,English,Common,239487,4954629
1,Breathe Your Last,Breathe Your Last,Modern Horizons 3,82,MH3,Normal,Near Mint,English,Common,553214,7958739
1,Brimstone Mage,Brimstone Mage,The List Reprints,ROE-137,LIST,Normal,Near Mint,English,Uncommon,204443,4274745
2,Broken Wings,Broken Wings,Dominaria United,157,DMU,Normal,Near Mint,English,Common,283679,5781935
1,Broodrage Mycoid,Broodrage Mycoid,The Lost Caverns of Ixalan,95,LCI,Normal,Near Mint,English,Common,524287,7505513
1,Bumbleflower's Sharepot,Bumbleflower's Sharepot,Bloomburrow,244,BLB,Normal,Near Mint,English,Common,559052,8035626
1,Bumbleflower's Sharepot,Bumbleflower's Sharepot,Bloomburrow,244,BLB,Foil,Near Mint,English,Common,559052,8035631
1,Burdened Aerialist,Burdened Aerialist,Modern Horizons 2,38,MH2,Foil,Near Mint,English,Common,240383,4999336
1,Burning Sun Cavalry,Burning Sun Cavalry,The Lost Caverns of Ixalan,138,LCI,Normal,Near Mint,English,Common,526372,7552662
1,Bushy Bodyguard,Bushy Bodyguard,Bloomburrow,166,BLB,Foil,Near Mint,English,Uncommon,559116,8037993
1,Cacophony Scamp,Cacophony Scamp,Phyrexia: All Will Be One,124,ONE,Normal,Near Mint,English,Uncommon,478746,6944501
1,Calamitous Tide,Calamitous Tide,Bloomburrow,43,BLB,Normal,Near Mint,English,Uncommon,559502,8043169
1,Caligo Skin-Witch,Caligo Skin-Witch,Dominaria,80,DOM,Normal,Near Mint,English,Common,164098,3634061
1,Callous Sell-Sword,Callous Sell-Sword,Wilds of Eldraine,221,WOE,Normal,Near Mint,English,Uncommon,512569,7366564
1,Candlelight Vigil,Candlelight Vigil,Guilds of Ravnica,3,GRN,Normal,Near Mint,English,Common,176858,3850743
1,Candy Grapple,Candy Grapple,Wilds of Eldraine,83,WOE,Normal,Near Mint,English,Common,513361,7385229
1,Cankerbloom (Showcase),Cankerbloom,Phyrexia: All Will Be One,294,ONE,Normal,Near Mint,English,Uncommon,479039,6950614
1,Canonized in Blood,Canonized in Blood,The Lost Caverns of Ixalan,96,LCI,Normal,Near Mint,English,Uncommon,526194,7543357
1,Canonized in Blood,Canonized in Blood,The Lost Caverns of Ixalan,96,LCI,Normal,Near Mint,English,Uncommon,526194,7543357
1,Caparocti Sunborn (Showcase),Caparocti Sunborn,The Lost Caverns of Ixalan,302,LCI,Normal,Near Mint,English,Uncommon,525342,7524832
1,Captive Weird,Captive Weird,March of the Machine,49,MOM,Foil,Near Mint,English,Uncommon,490599,7056317
1,Caretaker's Talent,Caretaker's Talent,Promo Pack: Bloomburrow,6,PPBLB,Normal,Near Mint,English,Rare,560931,8070772
1,Carrot Cake,Carrot Cake,Bloomburrow,7,BLB,Normal,Near Mint,English,Common,558593,8029899
1,Caustic Tar,Caustic Tar,Magic 2015 (M15),89,M15,Normal,Near Mint,English,Uncommon,90971,1228065
1,Cavern of Souls (0269),Cavern of Souls,The Lost Caverns of Ixalan,269,LCI,Normal,Near Mint,English,Mythic,517603,7441866
1,Cavern Stomper,Cavern Stomper,The Lost Caverns of Ixalan,177,LCI,Normal,Near Mint,English,Common,526291,7547812
1,Celestial Flare,Celestial Flare,Magic Origins,8,ORI,Normal,Near Mint,English,Common,100331,2899985
2,Cephalid Coliseum,Cephalid Coliseum,Modern Horizons 3,300,MH3,Normal,Near Mint,English,Uncommon,552626,7938095
1,"Chainer, Nightmare Adept","Chainer, Nightmare Adept",Modern Horizons 2,289,MH2,Normal,Near Mint,English,Rare,240161,4985672
1,Charging Monstrosaur,Charging Monstrosaur,Ixalan,138,XLN,Normal,Near Mint,English,Uncommon,145585,3469058
2,Charitable Levy,Charitable Levy,Modern Horizons 3,21,MH3,Normal,Near Mint,English,Uncommon,552716,7942174
1,Charmed Clothier,Charmed Clothier,Wilds of Eldraine,6,WOE,Normal,Near Mint,English,Common,512865,7375081
2,Child of the Volcano,Child of the Volcano,The Lost Caverns of Ixalan,140,LCI,Foil,Near Mint,English,Common,526307,7548887
1,Chimney Rabble,Chimney Rabble,Phyrexia: All Will Be One,126,ONE,Normal,Near Mint,English,Common,479582,6962779
1,Chomping Kavu,Chomping Kavu,March of the Machine,179,MOM,Normal,Near Mint,English,Common,491745,7087818
1,Chrome Prowler,Chrome Prowler,Phyrexia: All Will Be One,45,ONE,Normal,Near Mint,English,Common,479553,6960459
1,Chthonian Nightmare,Chthonian Nightmare,Modern Horizons 3,83,MH3,Normal,Near Mint,English,Rare,548588,7900627
1,Chupacabra Echo,Chupacabra Echo,The Lost Caverns of Ixalan,97,LCI,Normal,Near Mint,English,Uncommon,525284,7523725
1,Churning Reservoir,Churning Reservoir,Phyrexia: All Will Be One,127,ONE,Normal,Near Mint,English,Uncommon,479364,6956150
2,Cindering Cutthroat,Cindering Cutthroat,Bloomburrow,208,BLB,Normal,Near Mint,English,Common,558401,8025686
1,Cleaving Skyrider,Cleaving Skyrider,Dominaria United,12,DMU,Normal,Near Mint,English,Uncommon,283277,5766616
1,Cliffside Lookout,Cliffside Lookout,Battle for Zendikar,20,BFZ,Normal,Near Mint,English,Common,105586,2956506
1,Clifftop Lookout,Clifftop Lookout,Bloomburrow,168,BLB,Normal,Near Mint,English,Uncommon,559074,8036946
1,Clockwork Dragon,Clockwork Dragon,The List Reprints,MRD-155,LIST,Normal,Near Mint,English,Rare,275130,5682314
2,Coalition Warbrute,Coalition Warbrute,Dominaria United,118,DMU,Normal,Near Mint,English,Common,283656,5780275
1,Collective Resistance,Collective Resistance,Modern Horizons 3,147,MH3,Foil,Near Mint,English,Uncommon,552623,7937860
2,Collective Resistance,Collective Resistance,Modern Horizons 3,147,MH3,Normal,Near Mint,English,Uncommon,552623,7937855
3,Colossadactyl,Colossadactyl,The Lost Caverns of Ixalan,180,LCI,Normal,Near Mint,English,Uncommon,525167,7518249
1,Combat Research,Combat Research,Dominaria United,44,DMU,Normal,Near Mint,English,Uncommon,283615,5776995
1,Compleat Devotion,Compleat Devotion,Phyrexia: All Will Be One,7,ONE,Normal,Near Mint,English,Common,478966,6948027
1,Compleated Huntmaster,Compleated Huntmaster,March of the Machine,96,MOM,Normal,Near Mint,English,Uncommon,491248,7065570
1,Compleated Huntmaster,Compleated Huntmaster,March of the Machine,96,MOM,Foil,Near Mint,English,Uncommon,491248,7065575
1,Compulsion,Compulsion,Wilds of Eldraine: Enchanting Tales,15,WOT,Foil,Near Mint,English,Uncommon,513398,7387944
1,Conceited Witch,Conceited Witch,Wilds of Eldraine,84,WOE,Foil,Near Mint,English,Common,512342,7359812
2,Conduct Electricity,Conduct Electricity,Bloomburrow,130,BLB,Normal,Near Mint,English,Common,558703,8032600
4,Conduit Goblin,Conduit Goblin,Modern Horizons 3,179,MH3,Normal,Near Mint,English,Common,552636,7938820
1,Consign to Memory,Consign to Memory,Modern Horizons 3,54,MH3,Foil,Near Mint,English,Uncommon,552840,7947420
3,Consuming Corruption,Consuming Corruption,Modern Horizons 3,84,MH3,Normal,Near Mint,English,Uncommon,552837,7947175
1,Control Win Condition,Control Win Condition,Mystery Booster: Convention Edition Exclusives,19,CMB1,Normal,Near Mint,English,Special,202699,4265862
1,Copper Longlegs,Copper Longlegs,Phyrexia: All Will Be One,165,ONE,Foil,Near Mint,English,Common,479563,6961264
1,Copycrook,Copycrook,Modern Horizons 3,55,MH3,Normal,Near Mint,English,Uncommon,552725,7942894
1,Corpseberry Cultivator,Corpseberry Cultivator,Bloomburrow,210,BLB,Normal,Near Mint,English,Common,558402,8025761
1,Corpses of the Lost,Corpses of the Lost,Promo Pack: The Lost Caverns of Ixalan,98p,PPLCI,Normal,Near Mint,English,Rare,526880,7569349
1,Corrupted Conviction,Corrupted Conviction,March of the Machine,98,MOM,Normal,Near Mint,English,Common,491316,7068870
1,Corrupted Shapeshifter,Corrupted Shapeshifter,Modern Horizons 3,56,MH3,Normal,Near Mint,English,Common,551668,7920358
1,Coruscation Mage,Coruscation Mage,Bloomburrow,131,BLB,Normal,Near Mint,English,Uncommon,559072,8036826
1,Cosmic Hunger,Cosmic Hunger,March of the Machine,182,MOM,Normal,Near Mint,English,Common,491734,7086938
1,Cosmium Blast,Cosmium Blast,The Lost Caverns of Ixalan,7,LCI,Normal,Near Mint,English,Common,526295,7548132
1,Court of Locthwain,Court of Locthwain,Commander: Wilds of Eldraine,23,WOC,Normal,Near Mint,English,Rare,513408,7388540
1,Court of Locthwain,Court of Locthwain,Commander: Wilds of Eldraine,23,WOC,Normal,Near Mint,English,Rare,513408,7388540
1,Crack Open,Crack Open,Modern Horizons 2,154,MH2,Foil,Near Mint,English,Common,240463,5006646
1,Crossroads Consecrator,Crossroads Consecrator,Eldritch Moon,154,EMN,Normal,Near Mint,English,Common,120474,3158661
2,Crumb and Get It,Crumb and Get It,Bloomburrow,8,BLB,Normal,Near Mint,English,Common,559740,8049810
1,Curator of Sun's Creation,Curator of Sun's Creation,The Lost Caverns of Ixalan,141,LCI,Normal,Near Mint,English,Uncommon,525209,7519592
1,Cut Short,Cut Short,March of the Machine,10,MOM,Normal,Near Mint,English,Common,491706,7084848
1,Cutthroat Centurion,Cutthroat Centurion,Phyrexia: All Will Be One,89,ONE,Normal,Near Mint,English,Common,479611,6964839
2,Daggerfang Duo,Daggerfang Duo,Bloomburrow,89,BLB,Normal,Near Mint,English,Common,559765,8051083
1,Daring Discovery,Daring Discovery,The Lost Caverns of Ixalan,142,LCI,Normal,Near Mint,English,Common,526367,7552262
2,Daring Waverider,Daring Waverider,Bloomburrow,44,BLB,Normal,Near Mint,English,Uncommon,559135,8039103
1,Dark Tutelage,Dark Tutelage,Wilds of Eldraine: Enchanting Tales,28,WOT,Normal,Near Mint,English,Uncommon,513092,7379236
1,Darkstar Augur,Darkstar Augur,Bloomburrow,90,BLB,Normal,Near Mint,English,Rare,559055,8035806
1,Dawn's Truce,Dawn's Truce,Bloomburrow,9,BLB,Normal,Near Mint,English,Rare,559037,8034726
1,Dawn's Truce (Showcase),Dawn's Truce,Bloomburrow,295,BLB,Normal,Near Mint,English,Rare,559038,8034786
1,Deceptive Landscape,Deceptive Landscape,Modern Horizons 3,219,MH3,Foil,Near Mint,English,Common,553278,7961044
1,Decree of Justice,Decree of Justice,Modern Horizons 3,263,MH3,Normal,Near Mint,English,Uncommon,552820,7945815
1,Deem Inferior,Deem Inferior,Modern Horizons 3,57,MH3,Normal,Near Mint,English,Common,553172,7957179
1,Deem Inferior,Deem Inferior,Modern Horizons 3,57,MH3,Foil,Near Mint,English,Common,553172,7957184
3,Deep Goblin Skulltaker,Deep Goblin Skulltaker,The Lost Caverns of Ixalan,101,LCI,Normal,Near Mint,English,Common,526344,7550702
2,Deep Goblin Skulltaker,Deep Goblin Skulltaker,The Lost Caverns of Ixalan,101,LCI,Foil,Near Mint,English,Common,526344,7550707
1,Deeproot Pilgrimage,Deeproot Pilgrimage,Promo Pack: The Lost Caverns of Ixalan,52p,PPLCI,Normal,Near Mint,English,Rare,526877,7569184
1,Defiler of Flesh,Defiler of Flesh,Promo Pack: Dominaria United,90p,PPDMU,Normal,Near Mint,English,Rare,285597,5803403
1,Defiler of Flesh (Extended Art),Defiler of Flesh,Dominaria United,400,DMU,Normal,Near Mint,English,Rare,283444,5770765
1,Defossilize,Defossilize,The Lost Caverns of Ixalan,103,LCI,Normal,Near Mint,English,Uncommon,525233,7520465
1,Depth Defiler,Depth Defiler,Modern Horizons 3,58,MH3,Foil,Near Mint,English,Uncommon,552816,7945500
1,Desperate Sentry,Desperate Sentry,Eldritch Moon,21,EMN,Normal,Near Mint,English,Common,120477,3158691
1,Detective's Phoenix,Detective's Phoenix,Modern Horizons 3,116,MH3,Normal,Near Mint,English,Rare,552322,7928129
1,Dewdrop Cure,Dewdrop Cure,Bloomburrow,10,BLB,Normal,Near Mint,English,Uncommon,558685,8031520
1,Diamond Pick-Axe,Diamond Pick-Axe,The Lost Caverns of Ixalan,143,LCI,Normal,Near Mint,English,Uncommon,525223,7520173
2,Didact Echo,Didact Echo,The Lost Caverns of Ixalan,53,LCI,Normal,Near Mint,English,Common,524284,7505273
1,"Dina, Soul Steeper","Dina, Soul Steeper",March of the Machine: Multiverse Legends,37,MUL,Normal,Near Mint,English,Uncommon,491416,7073510
1,Dinotomaton,Dinotomaton,The Lost Caverns of Ixalan,144,LCI,Normal,Near Mint,English,Common,524310,7506294
1,Dinotomaton,Dinotomaton,The Lost Caverns of Ixalan,144,LCI,Foil,Near Mint,English,Common,524310,7506299
2,Dire Downdraft,Dire Downdraft,Bloomburrow,46,BLB,Normal,Near Mint,English,Common,559749,8050350
2,Diresight,Diresight,Bloomburrow,91,BLB,Normal,Near Mint,English,Common,558698,8032300
1,Dirge of Dread,Dirge of Dread,Masters 25,86,A25,Normal,Near Mint,English,Common,161783,3610860
1,Dirgur Nemesis,Dirgur Nemesis,Dragons of Tarkir,51,DTK,Normal,Near Mint,English,Common,96638,2743119
4,Disciple of Freyalise,Disciple of Freyalise,Modern Horizons 3,250,MH3,Normal,Near Mint,English,Uncommon,552466,7935149
2,Distinguished Conjurer,Distinguished Conjurer,Jumpstart 2022,4,J22,Normal,Near Mint,English,Uncommon,455231,6751065
1,Distorted Curiosity,Distorted Curiosity,Phyrexia: All Will Be One,46,ONE,Normal,Near Mint,English,Uncommon,479397,6956608
4,Disturbed Slumber,Disturbed Slumber,The Lost Caverns of Ixalan,182,LCI,Normal,Near Mint,English,Common,526333,7549822
1,Djinn of the Fountain,Djinn of the Fountain,Dominaria United,47,DMU,Normal,Near Mint,English,Uncommon,283278,5766696
2,Dog Umbra,Dog Umbra,Modern Horizons 3,22,MH3,Normal,Near Mint,English,Common,552308,7927159
1,Don't Move (Borderless),Don't Move,Universes Beyond: Jurassic World Collection,1,REX,Normal,Near Mint,English,Rare,524341,7507337
2,Doomgape,Doomgape,The List Reprints,DDJ-65,LIST,Normal,Near Mint,English,Rare,204612,4275590
1,Dour Port-Mage,Dour Port-Mage,Promo Pack: Bloomburrow,47,PPBLB,Normal,Near Mint,English,Rare,560942,8071432
1,Dragon Mantle,Dragon Mantle,Wilds of Eldraine: Enchanting Tales,41,WOT,Normal,Near Mint,English,Uncommon,513400,7388099
1,Dreadmaw's Ire,Dreadmaw's Ire,The Lost Caverns of Ixalan,147,LCI,Foil,Near Mint,English,Uncommon,525652,7529790
4,Dreadmaw's Ire,Dreadmaw's Ire,The Lost Caverns of Ixalan,147,LCI,Normal,Near Mint,English,Uncommon,525652,7529785
2,Drossclaw,Drossclaw,Modern Horizons 3,89,MH3,Normal,Near Mint,English,Common,552719,7942414
2,Drossclaw,Drossclaw,Modern Horizons 3,89,MH3,Foil,Near Mint,English,Common,552719,7942419
2,Druid of the Spade,Druid of the Spade,Bloomburrow,170,BLB,Normal,Near Mint,English,Common,559552,8044763
1,Duelist of Deep Faith,Duelist of Deep Faith,Phyrexia: All Will Be One,9,ONE,Normal,Near Mint,English,Common,479618,6965399
1,Dunland Crebain (Borderless),Dunland Crebain,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,411,LTR,Normal,Near Mint,English,Common,498431,7174070
1,Dutiful Griffin,Dutiful Griffin,Wilds of Eldraine,11,WOE,Normal,Near Mint,English,Uncommon,512652,7370580
1,Earthen Arms,Earthen Arms,Battle for Zendikar,172,BFZ,Normal,Near Mint,English,Common,105596,2956606
1,Eaten by Piranhas,Eaten by Piranhas,The Lost Caverns of Ixalan,54,LCI,Normal,Near Mint,English,Uncommon,526364,7552092
2,Echo of Dusk,Echo of Dusk,The Lost Caverns of Ixalan,104,LCI,Normal,Near Mint,English,Common,526305,7548722
1,Echoes of Eternity (Borderless),Echoes of Eternity,Modern Horizons 3,320,MH3,Normal,Near Mint,English,Rare,552184,7923717
1,Echoing Deeps,Echoing Deeps,The Lost Caverns of Ixalan,271,LCI,Normal,Near Mint,English,Rare,525285,7523805
1,Edgewall Inn,Edgewall Inn,Wilds of Eldraine,255,WOE,Normal,Near Mint,English,Uncommon,512530,7364902
1,Eerie Soultender,Eerie Soultender,Dominaria United,92,DMU,Foil,Near Mint,English,Common,283688,5782475
1,Eldrazi Repurposer,Eldrazi Repurposer,Modern Horizons 3,150,MH3,Normal,Near Mint,English,Common,553314,7963319
2,Eldrazi Repurposer,Eldrazi Repurposer,Modern Horizons 3,150,MH3,Foil,Near Mint,English,Common,553314,7963324
